layer1,layer2,J_obs,J_null_mean,J_null_sd,z,p_raw,n_null_draws,methodological_confound,seed,p_fdr_bh,significant_bh,p_fdr_by,significant_by
IG,IAC_RDE,0.01707317073170732,0.02064633882632648,0.0035038648987416278,-1.0197790719335162,0.3691630836916308,10000,False,20260522,0.6625390092569691,False,1.0,False
IG,IRAC,0.09236947791164658,0.06477978202077972,0.005719944624009753,4.823420103589419,9.999000099990002e-05,10000,False,20260522,0.0009427628665704858,True,0.004501152517033517,True
IG,RAC,0.14687939934303143,0.14319600319159675,0.0032881092359500286,1.1202170874260622,0.2870712928707129,10000,False,20260522,0.6533346665333467,False,1.0,False
IC,RP,0.019455252918287938,0.01699265467461466,0.004521459335739409,0.5446467745950795,0.662033796620338,10000,False,20260522,0.8886265219631884,False,1.0,False
IC,IRP,0.03816793893129771,0.0320762647022189,0.003362949570507989,1.811408140788336,0.22147785221477853,10000,False,20260522,0.590274305902743,False,1.0,False
IC,IAC_RAC,0.012145748987854251,0.017488870799366396,0.004735152301269277,-1.1283949219711262,0.2866713328667133,10000,False,20260522,0.6533346665333467,False,1.0,False
IC,IAC_RDE,0.0,0.0006247462919594068,0.0017837511398093458,-0.35024296720347553,1.0,10000,False,20260522,1.0,False,1.0,False
IC,IRAC,0.02097902097902098,0.02064733063875122,0.005616713401132912,0.05905416861804915,1.0,10000,False,20260522,1.0,False,1.0,False
IC,RAC,0.019897669130187607,0.021990244458752303,0.0016615142678217075,-1.2594386753645646,0.22397760223977603,10000,False,20260522,0.590274305902743,False,1.0,False
RP,IRP,0.1232876712328767,0.10523365114792604,0.009459586568489864,1.9085421920117616,0.11348865113488651,10000,False,20260522,0.37682231776822317,False,1.0,False
RP,IAC_RAC,0.015384615384615385,0.018795742553770405,0.004468252948265437,-0.7634140700291395,0.5106489351064893,10000,False,20260522,0.765973402659734,False,1.0,False
RP,IAC_RDE,0.02912621359223301,0.027834254730309715,0.0025412643220105585,0.5083921616233701,1.0,10000,False,20260522,1.0,False,1.0,False
RP,IRAC,0.004310344827586207,0.011888333538392618,0.003854396978161815,-1.9660633696377583,0.08149185081491851,10000,False,20260522,0.3163801266932131,False,1.0,False
RP,RAC,0.044126074498567334,0.04213575230055866,0.0015187713517393205,1.3104817889337501,0.24147585241475852,10000,False,20260522,0.590274305902743,False,1.0,False
IRP,IAC_RAC,0.0,0.0020402014074966538,0.001997113636196337,-1.0215750223319195,0.5818418158184182,10000,False,20260522,0.8170544647662894,False,1.0,False
IRP,IAC_RDE,0.0,0.0,0.0,,1.0,10000,False,20260522,1.0,False,1.0,False
IRP,IRAC,0.0029498525073746312,0.002365840787728141,0.0021695859290411144,0.26918118882924547,1.0,10000,False,20260522,1.0,False,1.0,False
IRP,RAC,0.0035502958579881655,0.004175290661085044,0.0008284537172986302,-0.7544112483855133,0.49025097490250974,10000,False,20260522,0.765973402659734,False,1.0,False
IAC_RAC,IAC_RDE,0.004464285714285714,0.005371885161348434,0.003019508725115303,-0.30057851448270345,1.0,10000,False,20260522,1.0,False,1.0,False
IAC_RAC,IRAC,0.0781010719754977,0.08696909058803307,0.009331004134897243,-0.9503820258068099,0.36246375362463756,10000,False,20260522,0.6625390092569691,False,1.0,False
IAC_RAC,RAC,0.10396570203644159,0.12471234656644765,0.003974635734020923,-5.219759977606252,9.999000099990002e-05,10000,False,20260522,0.0009427628665704858,True,0.004501152517033517,True
IAC_RDE,IRAC,0.0,0.0049617406463749025,0.0030501396967515418,-1.6267257042879881,0.18418158184181582,10000,False,20260522,0.5525447455254475,False,1.0,False
IAC_RDE,RAC,0.0022988505747126436,0.0041415317584744885,0.0009460022077149116,-1.947861398984343,0.07079292070792921,10000,False,20260522,0.31148885111488855,False,1.0,False
IRAC,RAC,0.16637478108581435,0.13303046939186644,0.003677909844384298,9.066103603616181,9.999000099990002e-05,10000,False,20260522,0.0009427628665704858,True,0.004501152517033517,True
